Price,Close,High,Low,Open,Volume
Ticker,YM=F,YM=F,YM=F,YM=F,YM=F
Date,,,,,
2021-06-24,34082.0,34177.0,33773.0,33792.0,122505
2021-06-25,34333.0,34386.0,34133.0,34193.0,108975
2021-06-28,34164.0,34411.0,34067.0,34398.0,120048
2021-06-29,34170.0,34363.0,34112.0,34188.0,101887
2021-06-30,34399.0,34450.0,34006.0,34185.0,132388
2021-07-01,34514.0,34551.0,34377.0,34448.0,110332
2021-07-02,34677.0,34714.0,34491.0,34510.0,102663
2021-07-06,34460.0,34755.0,34241.0,34676.0,183144
2021-07-07,34568.0,34595.0,34321.0,34394.0,136380
2021-07-08,34294.0,34592.0,34004.0,34583.0,225077
2021-07-09,34751.0,34784.0,34140.0,34290.0,156203
2021-07-12,34875.0,34904.0,34548.0,34765.0,135590
2021-07-13,34776.0,34915.0,34747.0,34890.0,129206
2021-07-14,34816.0,34946.0,34667.0,34779.0,127620
2021-07-15,34864.0,34878.0,34593.0,34798.0,165523
2021-07-16,34564.0,34975.0,34524.0,34838.0,162512
2021-07-19,33839.0,34579.0,33623.0,34555.0,293528
2021-07-20,34400.0,34502.0,33843.0,33918.0,222415
2021-07-21,34689.0,34739.0,34361.0,34427.0,136891
2021-07-22,34709.0,34789.0,34557.0,34733.0,117275
2021-07-23,34951.0,34993.0,34739.0,34768.0,133043
2021-07-26,35034.0,35072.0,34652.0,34944.0,125683
2021-07-27,34953.0,35040.0,34762.0,35039.0,167090
2021-07-28,34834.0,35018.0,34764.0,34844.0,146913
2021-07-29,34974.0,35061.0,34774.0,34867.0,113206
2021-07-30,34832.0,34997.0,34756.0,34978.0,151872
2021-08-02,34721.0,35082.0,34694.0,34872.0,145770
2021-08-03,34998.0,35009.0,34602.0,34765.0,161421
2021-08-04,34690.0,35000.0,34674.0,34960.0,145613
2021-08-05,34943.0,34949.0,34667.0,34716.0,104940
2021-08-06,35091.0,35137.0,34883.0,34922.0,111981
2021-08-09,34998.0,35105.0,34940.0,35100.0,101439
2021-08-10,35155.0,35176.0,34924.0,35016.0,109816
2021-08-11,35372.0,35394.0,35106.0,35164.0,118032
2021-08-12,35402.0,35438.0,35255.0,35381.0,109900
2021-08-13,35420.0,35519.0,35381.0,35429.0,90588
2021-08-16,35534.0,35547.0,35146.0,35383.0,151693
2021-08-17,35259.0,35516.0,35034.0,35508.0,200917
2021-08-18,34887.0,35286.0,34790.0,35212.0,166031
2021-08-19,34818.0,34934.0,34494.0,34860.0,258172
